mjd	why	night_mjd	sequence
60282.07013888889	cadence	60282	XMM-LSS_g
60282.11944444444	postgap	60282	Euclid_g
60283.04791666667	cadence	60283	Elias_S1_g
60283.11388888889	cadence	60283	ECDFS_g
60284.07013888889	cadence	60284	XMM-LSS_g
60284.11944444444	cadence	60284	Euclid_g
60285.049305555556	cadence	60285	Elias_S1_g
60285.1125	cadence	60285	ECDFS_g
60286.05902777778	cadence	60286	XMM-LSS_g
60286.10833333333	cadence	60286	Euclid_g
60286.27777777778	cadence	60286	COSMOS_g
60287.05	cadence	60287	Elias_S1_g
60287.10138888889	cadence	60287	ECDFS_g
60288.05763888889	cadence	60288	XMM-LSS_g
60288.106944444444	cadence	60288	Euclid_g
60288.27777777778	cadence	60288	COSMOS_g
60289.05138888889	cadence	60289	Elias_S1_g
60289.100694444445	cadence	60289	ECDFS_g
60290.052083333336	cadence	60290	XMM-LSS_g
60290.10138888889	cadence	60290	Euclid_g
60290.27777777778	cadence	60290	COSMOS_g
60291.052777777775	cadence	60291	Elias_S1_g
60291.10138888889	cadence	60291	ECDFS_g
60292.05347222222	cadence	60292	XMM-LSS_g
60292.10277777778	cadence	60292	Euclid_g
60292.27777777778	cadence	60292	COSMOS_g
60293.05347222222	cadence	60293	Elias_S1_g
60293.10277777778	cadence	60293	ECDFS_g
60294.05416666667	cadence	60294	XMM-LSS_g
60294.103472222225	cadence	60294	Euclid_g
60294.27777777778	cadence	60294	COSMOS_g
60295.05486111111	cadence	60295	Elias_S1_g
60295.103472222225	cadence	60295	ECDFS_g
60296.05486111111	pregap	60296	Elias_S1_g
60296.103472222225	cadence	60296	XMM-LSS_g
60296.15277777778	cadence	60296	Euclid_g
60296.27777777778	cadence	60296	COSMOS_g
60297.055555555555	pregap	60297	XMM-LSS_g
60297.175	cadence	60297	ECDFS_g
60298.177777777775	pregap	60298	Euclid_g
60298.27777777778	cadence	60298	COSMOS_g
60299.22638888889	pregap	60299	ECDFS_g
60300.27777777778	pregap	60300	COSMOS_g
60302.05763888889	bridge	60302	Elias_S1_g
60306.058333333334	bridge	60306	ECDFS_g
60307.28888888889	bridge	60307	COSMOS_g
60309.05902777778	postgap	60309	Elias_S1_g
60310.05902777778	postgap	60310	ECDFS_g
60311.05902777778	cadence	60311	Elias_S1_g
60312.05902777778	cadence	60312	ECDFS_g
60312.10833333333	postgap	60312	XMM-LSS_g
60313.05902777778	cadence	60313	Elias_S1_g
60313.10833333333	postgap	60313	Euclid_g
60314.05902777778	cadence	60314	ECDFS_g
60314.10833333333	pregap	60314	XMM-LSS_g
60314.28888888889	postgap	60314	COSMOS_g
60315.05902777778	cadence	60315	Elias_S1_g
60315.10833333333	cadence	60315	Euclid_g
60316.05902777778	cadence	60316	ECDFS_g
60316.27777777778	cadence	60316	COSMOS_g
60317.05902777778	cadence	60317	Elias_S1_g
60317.10833333333	cadence	60317	Euclid_g
60318.05902777778	cadence	60318	ECDFS_g
60318.10833333333	bridge	60318	XMM-LSS_g
60318.28888888889	cadence	60318	COSMOS_g
60319.05902777778	cadence	60319	Elias_S1_g
60319.10833333333	cadence	60319	Euclid_g
60320.058333333334	cadence	60320	ECDFS_g
60320.27777777778	cadence	60320	COSMOS_g
60321.058333333334	cadence	60321	Elias_S1_g
60321.10763888889	cadence	60321	Euclid_g
60322.058333333334	cadence	60322	ECDFS_g
60322.27777777778	cadence	60322	COSMOS_g
60323.05763888889	cadence	60323	Elias_S1_g
